target,isp,os,latency,jitter,packet_loss,download,upload,date,hour
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,49.644,7.064,0.0,35.85,35.85,05-05-2022,12:51
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,60.837,4.406,0.0,10.80,10.66,05-05-2022,12:52
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,53.834,2.347,0.0,34.60,34.60,05-05-2022,12:52
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,48.291,3.754,0.0,33.44,33.44,05-05-2022,12:52
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,54.188,3.061,0.0,33.96,33.96,05-05-2022,12:53
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,56.737,4.465,0.0,10.59,10.47,05-05-2022,12:54
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,51.222,6.107,0.0,32.99,32.99,05-05-2022,12:54
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,68.708,9.998,0.0,37.63,37.63,05-05-2022,12:54
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,52.566,3.082,0.0,16.66,16.54,05-05-2022,12:55
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,54.521,3.923,0.0,10.79,10.67,05-05-2022,12:57
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,48.126,3.999,0.0,35.23,35.23,05-05-2022,12:57
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,43.836,4.285,0.0,39.00,39.00,05-05-2022,12:57
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,47.623,4.053,0.0,35.54,35.54,05-05-2022,12:58
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.056,0.051,0.0,9.92,10.02,05-05-2022,13:33
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.588,0.104,0.0,254.13,255.53,05-05-2022,13:34
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.383,0.215,0.0,361.75,363.78,05-05-2022,13:34
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,36.086,0.183,0.0,592.78,595.43,05-05-2022,13:34
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,37.926,0.052,0.0,10.64,12.90,05-05-2022,13:56
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,35.454,0.019,0.0,293.35,295.61,05-05-2022,13:56
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,33.377,0.8,0.0,695.59,697.98,05-05-2022,13:56
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,35.917,0.325,0.0,581.18,583.88,05-05-2022,13:57
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,52.84,5.693,0.0,10.05,9.97,05-05-2022,14:13
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,56.657,10.365,0.0,13.61,13.52,05-05-2022,14:13
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,55.703,5.105,0.0,9.85,9.74,05-05-2022,14:13
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,53.441,5.095,0.0,4.08,3.92,05-05-2022,14:14
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,63.221,14.839,0.0,3.77,3.64,05-05-2022,18:25
